observation_date,AZSTHPI_20181127,CASTHPI_20181127,COSTHPI_20181127,DCSTHPI_20181127,FLSTHPI_20181127,GASTHPI_20181127,ILSTHPI_20181127,MASTHPI_20181127,MISTHPI_20181127,MNSTHPI_20181127,NCSTHPI_20181127,NVSTHPI_20181127,NYSTHPI_20181127,OHSTHPI_20181127,ORSTHPI_20181127,TXSTHPI_20181127,WASTHPI_20181127
2000-01-01,200.03,261.10,260.63,234.48,202.01,230.10,241.97,403.93,253.11,225.10,233.15,189.40,335.50,215.62,247.56,159.82,269.40
2000-04-01,202.40,268.15,267.02,243.08,205.57,233.78,246.12,416.90,256.62,231.77,236.01,191.88,345.59,218.23,249.19,162.47,272.14
2000-07-01,205.05,277.13,274.04,250.71,209.89,237.66,250.14,432.16,261.17,237.50,239.09,193.60,355.69,220.84,251.48,164.88,275.82
2000-10-01,208.20,285.72,280.27,255.46,214.32,241.53,253.01,442.53,264.92,242.17,241.61,196.52,361.12,223.70,254.30,166.83,279.33
2001-01-01,212.92,296.70,288.12,266.08,220.45,248.28,256.31,454.45,269.08,248.53,246.91,200.82,369.32,227.97,261.18,171.54,286.16
2001-04-01,216.16,305.74,293.97,278.28,226.05,251.33,260.74,468.20,272.56,255.21,249.10,203.39,377.50,230.33,263.63,173.80,290.00
2001-07-01,219.32,312.21,299.50,289.93,231.21,254.55,265.55,483.95,276.15,262.94,251.00,207.20,387.67,232.49,266.00,175.11,292.95
2001-10-01,221.47,316.59,301.97,298.66,236.81,257.89,268.04,493.71,278.43,266.46,253.39,209.82,394.44,234.40,268.33,177.07,294.91
2002-01-01,224.54,325.05,305.48,308.15,241.56,260.08,272.68,508.05,281.85,272.02,254.89,212.81,404.16,236.37,271.74,177.57,298.51
2002-04-01,227.45,336.09,308.79,319.34,248.88,262.00,277.51,526.70,284.99,279.23,255.99,216.34,416.75,237.99,273.58,179.07,302.12
2002-07-01,231.37,348.73,313.22,333.99,255.91,266.34,281.08,542.11,287.62,285.31,259.51,221.04,429.38,240.34,278.28,181.84,305.85
2002-10-01,234.06,358.89,315.15,343.93,261.74,269.46,284.27,554.35,289.43,289.70,261.23,223.53,438.67,241.93,280.53,183.77,308.44
2003-01-01,236.84,367.18,316.00,351.72,267.30,271.57,287.24,565.27,291.62,293.66,263.37,227.54,448.54,243.68,283.42,184.67,310.96
2003-04-01,239.30,374.03,317.41,358.59,273.75,273.35,290.15,574.42,293.87,297.08,265.14,232.05,459.17,245.45,286.06,185.84,313.63
2003-07-01,242.95,386.65,318.80,369.82,280.31,275.01,294.23,585.15,296.45,303.97,266.41,238.72,465.77,247.45,290.13,186.43,317.50
2003-10-01,251.21,411.38,322.53,389.60,293.32,278.49,303.45,610.16,300.77,314.89,268.89,253.10,487.72,250.83,297.51,187.53,325.58
2004-01-01,255.49,424.56,324.93,404.75,302.20,282.28,306.71,620.39,302.79,318.65,271.87,266.41,497.40,252.30,301.19,188.47,330.49
2004-04-01,264.59,451.05,327.37,424.56,316.34,284.13,313.72,634.94,304.84,324.93,274.30,290.59,511.07,253.82,310.25,190.30,340.37
2004-07-01,280.32,496.98,331.98,454.52,336.07,288.06,324.06,665.48,309.05,335.87,277.21,327.60,537.22,256.80,323.96,191.82,354.58
2004-10-01,291.67,515.94,335.10,479.07,351.42,292.53,328.67,676.48,312.37,340.81,281.88,339.77,550.63,259.49,331.51,194.01,362.77
2005-01-01,309.40,538.48,338.63,500.80,370.36,296.36,335.43,690.93,315.03,347.31,286.41,353.64,565.65,261.92,341.53,195.07,374.39
2005-04-01,341.50,569.87,343.51,529.64,397.71,300.35,343.33,707.24,316.75,354.45,290.27,372.56,584.37,263.84,359.73,198.11,394.38
2005-07-01,370.24,597.95,348.83,561.69,425.26,305.34,350.34,718.18,319.39,360.91,296.66,385.47,604.14,266.42,379.69,201.37,411.75
2005-10-01,395.77,624.73,351.97,590.02,447.59,309.29,356.74,723.28,318.61,364.94,303.00,399.97,617.95,266.87,396.31,203.71,429.09
2006-01-01,410.64,637.61,353.07,598.28,465.09,312.45,361.48,724.08,317.40,366.81,308.08,408.97,628.77,266.87,410.66,206.04,444.26
2006-04-01,419.38,643.29,354.66,606.17,474.99,314.31,364.29,715.20,312.14,364.81,312.43,409.29,630.86,265.83,427.16,209.35,459.74
2006-07-01,423.19,645.31,356.35,612.41,478.68,316.91,367.06,709.73,309.82,365.17,317.76,410.89,630.13,265.16,438.31,212.44,473.29
2006-10-01,426.51,641.35,359.52,622.41,482.01,322.69,371.12,711.67,311.28,369.14,323.58,409.56,638.41,266.31,446.72,215.30,483.29
2007-01-01,424.61,632.38,360.45,627.03,478.83,325.48,373.35,706.12,308.92,371.13,328.56,407.15,641.39,266.42,451.75,218.13,492.12
2007-04-01,420.92,621.55,361.15,627.00,472.66,326.46,372.10,695.70,303.32,367.01,331.74,397.70,639.46,264.87,456.85,221.80,497.46
2007-07-01,411.39,598.55,358.72,628.33,455.63,324.35,369.08,682.25,293.66,359.18,333.04,384.84,630.13,261.99,454.64,222.46,498.76
2007-10-01,404.33,574.33,359.64,620.54,444.18,326.63,370.30,682.50,292.71,358.19,335.72,374.62,632.33,261.93,456.21,224.17,501.58
2008-01-01,390.72,542.26,361.27,607.86,426.42,327.10,368.79,679.05,291.84,359.68,338.43,353.28,635.73,263.20,453.61,225.56,500.13
2008-04-01,368.02,497.78,359.33,591.95,397.26,321.95,361.33,657.68,280.01,348.62,337.83,325.61,623.88,259.17,445.34,226.08,490.34
2008-07-01,341.32,460.26,351.99,578.47,364.92,313.36,349.34,641.42,268.68,338.29,333.67,292.65,607.74,252.76,430.90,225.35,475.57
2008-10-01,328.79,444.40,352.98,571.31,346.56,312.08,348.21,642.31,265.98,337.18,333.50,277.46,601.89,253.30,424.57,225.77,470.52
2009-01-01,327.77,440.21,359.42,573.01,352.45,318.71,346.76,642.38,271.40,343.04,337.36,275.98,609.15,257.86,422.02,228.47,466.92
2009-04-01,304.03,420.11,353.68,556.40,334.03,309.00,336.85,626.63,260.78,333.09,331.56,255.82,595.85,251.99,405.70,226.86,446.89
2009-07-01,288.11,410.83,345.32,551.21,314.61,296.16,326.05,615.88,249.05,319.56,323.76,238.02,581.44,246.92,391.37,224.64,431.77
2009-10-01,279.67,412.20,344.55,558.19,306.85,291.92,322.97,616.92,244.69,315.25,319.91,231.47,576.43,246.52,384.34,224.05,426.17
2010-01-01,271.97,409.33,340.79,552.07,300.81,286.30,317.71,613.41,239.95,310.45,314.58,222.56,572.56,243.80,377.73,222.56,418.58
2010-04-01,262.48,408.15,337.01,554.48,292.36,280.20,314.07,611.47,236.22,307.61,312.09,214.62,569.26,241.89,372.04,222.71,413.98
2010-07-01,262.04,410.19,341.39,562.89,296.03,282.94,317.31,615.07,240.14,314.53,314.02,215.46,577.11,245.13,372.23,224.01,413.79
2010-10-01,254.96,405.57,339.82,562.21,290.42,279.00,315.19,614.79,239.60,310.41,312.39,210.08,576.82,244.10,366.44,223.07,406.51
2011-01-01,241.36,391.36,331.49,554.81,276.72,268.75,304.45,605.86,229.94,297.64,305.41,198.16,568.25,236.66,351.31,219.86,392.74
2011-04-01,229.80,385.01,326.25,562.05,268.31,257.23,298.38,599.05,226.06,290.98,299.20,184.97,560.04,233.13,341.28,218.76,382.92
2011-07-01,231.54,386.38,329.43,563.82,271.15,258.94,300.49,602.26,230.60,294.68,300.87,184.49,557.76,236.17,344.22,220.55,384.14
2011-10-01,236.36,385.07,331.83,570.26,273.50,258.63,300.40,602.93,232.40,297.53,301.84,184.11,562.36,236.82,347.33,220.69,384.45
2012-01-01,235.05,380.65,330.07,573.74,268.04,252.08,296.69,599.19,227.89,291.90,297.88,182.07,557.78,233.98,341.24,220.66,378.27
2012-04-01,238.31,381.40,331.31,576.73,266.07,247.78,293.02,597.62,226.87,290.23,294.39,181.46,552.64,232.88,338.29,222.17,375.43
2012-07-01,247.73,389.60,336.64,586.13,272.44,250.93,296.16,601.35,231.33,294.73,297.46,185.93,554.41,235.10,345.46,224.13,382.27
2012-10-01,255.51,397.62,339.59,596.77,276.35,254.06,296.30,604.24,234.49,298.02,298.78,191.15,556.39,234.55,351.12,225.93,386.87
2013-01-01,261.97,406.59,344.18,607.84,280.09,254.24,294.50,606.22,237.23,299.38,298.13,196.92,557.06,233.62,353.78,227.42,389.79
2013-04-01,274.00,425.73,351.72,626.25,289.31,260.33,296.39,611.64,242.23,305.09,299.83,209.44,558.69,234.40,363.64,231.52,397.11
2013-07-01,283.44,449.63,361.46,652.97,296.87,263.66,297.34,619.70,248.33,311.43,300.79,223.13,561.32,235.41,374.76,235.62,405.62
2013-10-01,291.14,464.68,364.92,655.51,304.59,267.13,298.75,623.53,250.41,312.06,300.02,232.81,561.55,235.32,379.27,238.27,409.81
2014-01-01,296.85,474.76,370.21,671.55,309.45,271.46,299.69,627.52,252.96,314.01,302.11,238.57,561.87,235.76,385.29,242.46,414.43
2014-04-01,301.85,487.19,383.07,686.70,317.48,277.53,304.89,641.44,260.49,321.73,306.20,246.38,567.64,240.92,397.72,248.69,425.62
2014-07-01,304.86,497.55,391.50,694.82,324.52,283.19,309.19,648.93,266.24,325.02,309.18,255.05,575.66,243.50,404.16,253.03,434.42
2014-10-01,309.85,503.05,397.70,710.40,330.27,284.89,310.49,653.48,268.34,326.06,310.46,258.78,580.50,244.78,408.77,256.04,438.78
2015-01-01,311.65,507.33,404.37,713.53,337.45,288.60,313.25,657.73,269.15,326.48,315.19,264.06,585.18,246.17,414.44,259.93,443.64
